# RF products vs ftx
#
# spot_level = 1000
# drive_level = 151
#
# ftx           Pfund     P_2nd      P_3rd     P_4th     P_5th
#
1000000.000000 38.995334 -11.675450 7.494647 -24.278573 -1.319615 
1303030.303030 38.999408 -8.445859 7.492610 -19.828736 -0.929135 
1606060.606061 38.993304 -5.964688 7.549556 -15.224332 -1.203687 
1909090.909091 38.942462 -3.993985 7.854617 -8.850575 -1.785336 
2212121.212121 38.893649 -2.464612 7.925800 -8.010640 -2.430035 
2515151.515152 38.855006 -1.120305 7.673610 -14.048825 -1.567731 
2818181.818182 38.767558 0.502628 7.862750 -18.362405 -1.498578 
3121212.121212 38.714679 2.536372 7.925800 -20.469365 -1.657216 
3424242.424242 38.641467 4.893481 7.750896 -22.006879 -2.112775 
3727272.727273 38.590625 7.533282 7.022815 -23.035954 -2.930341 
4030303.030303 38.480800 9.357555 4.858905 -21.040849 -4.532933 
4333333.333333 38.456393 8.478976 4.405383 -17.900746 -4.833928 
4636363.636364 38.454364 5.702914 6.398456 -16.894040 -3.644185 
4939393.939394 38.454364 2.806857 7.437701 -14.683354 -2.930341 
5242424.242424 38.440128 0.071468 7.978679 -12.230656 -2.600873 
5545454.545455 38.419788 -2.480878 8.180019 -10.821271 -2.383260 
5848484.848485 38.391315 -4.791219 8.375255 -10.489774 -2.208356 
6151515.151515 38.399448 -6.853436 8.489146 -10.581288 -1.889058 
6454545.454545 38.385211 -9.013272 8.568462 -11.065320 -1.671452 
6757575.757576 38.401485 -11.211751 8.686420 -11.693753 -1.484349 
7060606.060606 38.419788 -12.930272 8.859286 -12.312009 -1.309445 
7363636.363636 38.431987 -14.799283 9.007755 -13.214993 -1.140645 
7666666.666667 38.452327 -14.264409 9.137912 -14.233899 -0.892522 
7969696.969697 38.460460 -12.354718 9.255870 -15.088071 -0.644406 
8272727.272727 38.495036 -9.960995 9.416537 -14.957913 -0.408490 
8575757.575758 38.566219 -7.742184 9.577197 -14.366093 -0.213254 
8878787.878788 38.598758 -5.653523 9.715495 -13.922734 0.038928 
9181818.181818 38.635364 -3.754002 9.892429 -13.410229 0.301280 
9484848.484848 38.702480 -1.767033 10.042926 -12.653676 0.675494 
9787878.787879 38.732982 0.067401 10.187320 -11.406995 0.982585 
10090909.090909 38.806201 1.749309 10.378497 -9.535947 1.468654 
10393939.393939 38.869243 3.187167 10.524928 -7.778790 1.924213 
10696969.696970 38.958728 4.372844 10.651019 -6.133488 2.416377 
11000000.000000 39.005504 5.351077 10.805583 -4.823758 2.849567 
11303030.303030 39.088893 6.024242 10.923541 -3.690961 3.368175 
11606060.606061 39.129565 6.485904 11.043529 -2.926274 3.825763 
11909090.909091 39.196681 6.811305 11.185893 -2.350720 4.171504 
12212121.212121 39.243457 7.022815 11.350627 -1.811780 4.401317 
12515151.515152 39.284129 7.114330 11.482822 -1.348088 4.647395 
12818181.818182 39.318706 7.106197 11.653651 -1.032857 4.738918 
13121212.121212 39.343105 7.063487 11.846858 -0.790837 4.696208 
13424242.424242 39.371577 6.974002 12.019725 -0.607800 4.549777 
13727272.727273 39.377681 6.833675 12.170222 -0.451199 4.417583 
14030303.030303 39.377681 6.646571 12.343097 -0.355618 4.220309 
14333333.333333 39.377681 6.451335 12.493594 -0.276303 3.886775 
14636363.636364 39.371577 6.221515 12.629855 -0.262067 3.500369 
14939393.939394 39.361415 5.912387 12.770183 -0.298672 3.024471 
15242424.242424 39.320735 5.589023 12.908473 -0.388158 2.530269 
15545454.545455 39.263789 5.107028 13.030498 -0.544751 1.905910 
15848484.848485 39.225154 4.604694 13.119983 -0.746098 1.356799 
16151515.151515 39.141765 4.252849 13.195232 -0.927098 0.760913 
16454545.454545 39.101093 4.100322 13.262347 -1.199620 0.040965 
16757575.757576 39.009570 4.138965 13.333530 -1.496548 -0.660680 
17060606.060606 38.956699 4.277255 13.345729 -1.828046 -1.346051 
17363636.363636 38.861110 4.395213 13.341663 -2.291745 -2.065999 
17666666.666667 38.753322 4.531474 13.351833 -2.655782 -2.779843 
17969696.969697 38.696376 4.671802 13.305057 -3.154050 -3.404202 
18272727.272727 38.602824 4.785693 13.233875 -3.597409 -4.040761 
18575757.575758 38.539775 4.879245 13.189136 -4.148557 -4.685460 
18878787.878788 38.454364 4.966701 13.152522 -4.579709 -5.281346 
19181818.181818 38.401485 5.033809 13.095584 -5.031201 -5.747075 
19484848.484848 38.326236 5.143634 13.030498 -5.368802 -6.237210 
19787878.787879 38.232684 5.227016 12.957286 -5.734875 -6.678532 
20090909.090909 38.206241 5.318538 12.918643 -6.011464 -7.010037 
20393939.393939 38.194041 5.401920 12.859668 -6.259579 -7.386273 
20696969.696970 38.163531 5.471065 12.782382 -6.381604 -7.622189 
21000000.000000 38.167606 5.536143 12.725436 -6.501599 -7.831670 
21303030.303030 38.145229 5.576823 12.672565 -6.491429 -7.988263 
21606060.606061 38.151332 5.607326 12.656291 -6.462956 -8.083852 
21909090.909091 38.185909 5.656139 12.613582 -6.338895 -8.087918 
22212121.212121 38.198108 5.662242 12.574939 -6.129422 -8.089955 
22515151.515152 38.210307 5.658168 12.558673 -5.883336 -8.002499 
22818181.818182 38.259120 5.611392 12.542400 -5.690129 -7.878445 
23121212.121212 38.324199 5.570720 12.528163 -5.362698 -7.811330 
23424242.424242 38.360805 5.501575 12.524097 -5.096280 -7.666936 
23727272.727273 38.434024 5.403949 12.501727 -4.840024 -7.561177 
24030303.030303 38.454364 5.261592 12.459018 -4.461751 -7.418820 
24333333.333333 38.507236 5.076518 12.416309 -4.209569 -7.359837 
24636363.636364 38.572314 4.934154 12.339030 -3.965512 -7.270352 
24939393.939394 38.596721 4.747050 12.259708 -3.733670 -7.284589 
25242424.242424 38.617061 4.576221 12.174297 -3.589276 -7.365941 
25545454.545455 38.635364 4.417583 12.086841 -3.493687 -7.396443 
25848484.848485 38.637401 4.263019 11.964816 -3.481480 -7.648633 
26151515.151515 38.639430 4.130824 11.822452 -3.524190 -7.837766 
26454545.454545 38.617061 3.990497 11.659755 -3.593343 -8.179440 
26757575.757576 38.606891 3.935588 11.444179 -3.810948 -8.458058 
27060606.060606 38.596721 3.913219 11.259105 -4.085507 -8.933957 
27363636.363636 38.562152 3.905078 11.004886 -4.380399 -9.456631 
27666666.666667 38.474696 3.994563 10.775073 -4.740376 -9.863377 
27969696.969697 38.444194 4.128795 10.500522 -5.149159 -10.453168 
28272727.272727 38.368945 4.271159 10.232066 -5.515233 -11.069394 
28575757.575758 38.320132 4.435893 9.967677 -6.031804 -11.646977 
28878787.878788 38.210307 4.663669 9.680919 -6.501599 -12.348615 
29181818.181818 38.165569 4.836536 9.432803 -6.979527 -12.911961 
29484848.484848 38.092357 5.009402 9.150111 -7.536771 -13.544461 
29787878.787879 38.000835 5.210750 8.912166 -8.132664 -14.229832 
30090909.090909 37.966258 5.420222 8.615237 -8.691945 -15.039265 
30393939.393939 37.807628 5.639865 8.251201 -9.444424 -15.749043 
30696969.696970 37.604251 5.829005 7.799709 -10.406392 -16.816754 
31000000.000000 37.366306 5.938831 7.232288 -11.785268 -17.971928 
